sell_time,sell_volume,product_sku,Chinese_name,freezer
2023-07-09 08:04:31,5,MN_BJ_BB_MGXN_75,蒙牛冰+芒果口味雪泥75g,MNG23H50875
2023-07-09 08:04:53,4,MN_BJ_BB_XKQTLL_75,蒙牛冰+星空青提酪酪口味雪泥75g,MNG23H50875
2023-07-09 08:04:53,4,MN_QT_XG_QZNNHT_45,蒙牛趣仔牛蒙蒙牛奶核桃巧克力口味雪糕45g,MNG23H50875
2023-07-09 08:04:53,4,MN_SB_BQL_BQJGKXGCP_60,蒙牛随变开心果脆皮冰淇淋60g,MNG23H50875
2023-07-09 08:04:53,4,MN_SB_BQL_LMJ_80,蒙牛随变爆浆流芯朗姆酒口味爆浆冰淇淋80g,MNG23H50875
2023-07-09 09:41:19,2,MN_BJ_BB_MGXNnew_75,蒙牛冰+芒果口味雪泥75g,MNG23H50875
2023-07-09 09:41:19,2,MN_ESNC_BQL_YW_75,蒙牛俄式奶纯冰淇淋75g,MNG23H50875
2023-07-09 09:45:35,1,MN_BJ_BB_XKQTLL_75,蒙牛冰+星空青提酪酪口味雪泥75g,MNG23H50875
2023-07-09 09:48:52,1,MN_DLSX_BQL_CLZNR_75,蒙牛蒂兰圣雪车厘子牛乳冰淇淋75g,MNG23H50875
2023-07-09 09:53:57,1,MN_SB_BQL_RXMMCMCP_75,蒙牛随变软芯莓莓草莓软芯脆皮口味冰淇淋75g,MNG23H50319
2023-07-09 10:13:57,1,MN_BJ_BB_HLGBXGNMPT_60,蒙牛冰+彩冰纷火龙果百香果柠檬葡萄口味棒冰60g,MNG23H50875
2023-07-09 10:41:46,2,MN_BJ_BB_MGXN_75,蒙牛冰+芒果口味雪泥75g,MNG23H50875
2023-07-09 10:50:53,1,MN_DLSX_BQL_CLZNR_75,蒙牛蒂兰圣雪车厘子牛乳冰淇淋75g,MNG23H50058
2023-07-09 11:00:26,1,MN_BJ_BB_XRDDPBXGXYNM_75,蒙牛冰+夏日对对碰百香果西柚柠檬缤纷口味雪泥75g,MNG23H50058
2023-07-09 11:01:10,1,MN_BJ_BB_HLGBXGNMPT_60,蒙牛冰+彩冰纷火龙果百香果柠檬葡萄口味棒冰60g,MNG23H50875
2023-07-09 11:02:01,5,MN_BJ_BB_HYNM_85,蒙牛冰+海盐柠檬口味雪泥85g,MNG23H50058
2023-07-09 11:02:01,5,MN_BJ_BB_XKQTLL_75,蒙牛冰+星空青提酪酪口味雪泥75g,MNG23H50058
2023-07-09 11:02:01,5,MN_DLSX_BQL_CBMGNR_75,蒙牛蒂兰圣雪重瓣玫瑰牛乳冰淇淋75g,MNG23H50058
2023-07-09 11:02:01,5,MN_KACC_XG_XY_65,蒙牛酷爱纯脆香芋味脆皮雪糕65g,MNG23H50058
2023-07-09 11:02:01,5,MN_SSXG_BQL_XCNY_95,蒙牛果味三色雪糕95g,MNG23H50058
2023-07-09 11:08:06,1,MN_ESNC_BQL_YW_75,蒙牛俄式奶纯冰淇淋75g,MNG23H50875
2023-07-09 11:10:11,2,MN_DLSX_BQL_CBMGNR_75,蒙牛蒂兰圣雪重瓣玫瑰牛乳冰淇淋75g,MNG23H50875
2023-07-09 11:10:11,2,MN_QT_XG_QZNNHT_45,蒙牛趣仔牛蒙蒙牛奶核桃巧克力口味雪糕45g,MNG23H50875
2023-07-09 11:24:18,1,MN_BJ_BB_HLGBXGNMPT_60,蒙牛冰+彩冰纷火龙果百香果柠檬葡萄口味棒冰60g,MNG23H50875
2023-07-09 17:59:18,2,MN_DLSX_BQL_CLZNR_75,蒙牛蒂兰圣雪车厘子牛乳冰淇淋75g,MNG23H50058
2023-07-09 17:59:18,2,MN_KACC_XG_XY_65,蒙牛酷爱纯脆香芋味脆皮雪糕65g,MNG23H50058
2023-07-10 08:36:26,2,MN_DLSX_BQL_CLZNR_75,蒙牛蒂兰圣雪车厘子牛乳冰淇淋75g,MNG23H50875
2023-07-10 08:36:26,2,MN_XRDBL_XG_BQL_65,蒙牛夏日大菠浪菠萝口味雪糕65g,MNG23H50875
2023-07-10 08:37:37,1,MN_XRDBL_XG_BQL_65,蒙牛夏日大菠浪菠萝口味雪糕65g,MNG23H50875
2023-07-10 08:38:45,2,MN_DLSX_BQL_CBMGNR_75,蒙牛蒂兰圣雪重瓣玫瑰牛乳冰淇淋75g,MNG23H50875
2023-07-10 08:38:45,2,MN_XRDBL_XG_BQL_65,蒙牛夏日大菠浪菠萝口味雪糕65g,MNG23H50875
2023-07-10 08:42:05,2,MN_HMM_XG_HMG_65,蒙牛哈蜜蜜雪糕65g,MNG23H50875
2023-07-10 08:42:05,2,MN_XRDBL_XG_BQL_65,蒙牛夏日大菠浪菠萝口味雪糕65g,MNG23H50875
2023-07-10 08:51:54,1,MN_SSXG_BQL_XCNY_95,蒙牛果味三色雪糕95g,MNG23H50875
2023-07-10 10:38:25,2,MN_SB_BQL_RXMMCMCP_75,蒙牛随变软芯莓莓草莓软芯脆皮口味冰淇淋75g,MNG23H50875
2023-07-10 11:01:00,2,MN_ESNC_BQL_YW_75,蒙牛俄式奶纯冰淇淋75g,MNG23H50875
2023-07-10 11:02:14,1,MN_XRDBL_XG_BQL_65,蒙牛夏日大菠浪菠萝口味雪糕65g,MNG23H50875
2023-07-10 16:13:12,2,MN_BJ_BB_HTSN_70,蒙牛冰+黄桃酸奶口味棒冰70g,MNG23H50934
